,xUTM,yUTM,Prob
77,473500,855000,4.225048627150523e-07
78,474000,855000,1.856523796617186e-06
79,474500,855000,5.294528827943591e-06
80,475000,855000,9.549958971319444e-06
81,475500,855000,1.099530806964827e-05
82,476000,855000,1.0140679616409398e-05
83,476500,855000,2.0615979660441136e-05
84,477000,855000,7.271852722790892e-05
85,477500,855000,0.0001833569432575408
86,478000,855000,0.000287119526781262
87,478500,855000,0.00027699229587019493
88,479000,855000,0.00016698336682013123
89,479500,855000,6.894276915741553e-05
90,480000,855000,2.824877678705614e-05
91,480500,855000,1.619893548186977e-05
92,481000,855000,8.678014327279613e-06
93,481500,855000,3.1315118373796927e-06
94,482000,855000,7.065056112399364e-07
95,482500,855000,9.839143975740474e-08
96,483000,855000,8.435069607367208e-09
97,483500,855000,4.4470672553172514e-10
98,484000,855000,1.4410304631677647e-11
99,468000,855500,2.229766699062254e-15
100,468500,855500,9.977029865424496e-14
101,469000,855500,2.913487412224837e-12
102,469500,855500,5.347544198831262e-11
103,470000,855500,6.088711478967757e-10
104,470500,855500,4.282714089381428e-09
105,471000,855500,1.862771332541367e-08
106,471500,855500,5.086765097468462e-08
107,472000,855500,9.548932827654763e-08
108,472500,855500,1.8568116160021936e-07
109,473000,855500,6.832807138960128e-07
110,473500,855500,3.3915927018030367e-06
111,474000,855500,1.3794394818356398e-05
112,474500,855500,3.820927222260153e-05
113,475000,855500,6.791735111149987e-05
114,475500,855500,7.64408126617954e-05
115,476000,855500,5.858004107361879e-05
116,476500,855500,5.966025487022761e-05
117,477000,855500,0.00015727400971835467
118,477500,855500,0.00038582794272081823
119,478000,855500,0.0006035595798865462
120,478500,855500,0.0005865198696292641
121,479000,855500,0.00036949651250543336
122,479500,855500,0.00018826485866333705
123,480000,855500,0.00012231248631171512
124,480500,855500,9.156509377633558e-05
125,481000,855500,5.1233118088391485e-05
126,481500,855500,1.839846259023111e-05
127,482000,855500,4.115034771411121e-06
128,482500,855500,5.693013643121243e-07
129,483000,855500,4.858805781635414e-08
130,483500,855500,2.554314839357368e-09
131,484000,855500,8.263398174714688e-11
132,468000,856000,5.088882965717679e-14
133,468500,856000,1.8810986042294457e-12
134,469000,856000,5.049642291247852e-11
135,469500,856000,8.932322125204953e-10
136,470000,856000,9.978343277311195e-09
137,470500,856000,6.93465251771422e-08
138,471000,856000,2.987863558168202e-07
139,471500,856000,8.052745899010705e-07
140,472000,856000,1.4397274206234646e-06
141,472500,856000,2.2348737383916615e-06
142,473000,856000,5.249452991165196e-06
143,473500,856000,1.8788663303908602e-05
144,474000,856000,6.583371793192042e-05
145,474500,856000,0.00017231907985237383
146,475000,856000,0.0002995352609779204
147,475500,856000,0.0003322771767855391
148,476000,856000,0.00023858100305256119
149,476500,856000,0.0001502978383763601
150,477000,856000,0.0002271432335170004
151,477500,856000,0.0005074752702396966
152,478000,856000,0.0007888080221364768
